PONumber,Date Submitted,ASN Done,ASN Date Submitted,Order Date

Date Submitted,ASN Done?,ASN Date Submitted,Order Date
5/3/2021 12:50:56 PM,Yes,05/05/2021 05:29:16 PM,2021-05-03
2169167253,4/19/2021 2:41:38 PM, , ,2021-04-19
4269625736,4/19/2021 2:41:32 PM, , ,2021-04-19
6470904156,4/19/2021 2:36:08 PM, , ,2021-04-19
2421543575,4/19/2021 2:36:06 PM, , ,2021-04-19
6122402262,4/19/2021 2:36:04 PM, , ,2021-04-19
8271633140,4/19/2021 2:09:34 PM, , ,2021-04-19
2369236549,4/12/2021 12:52:26 PM,Yes,04/13/2021 06:33:16 PM,2021-04-12
7719196766,4/12/2021 12:52:24 PM,Yes,04/13/2021 06:34:25 PM,2021-04-12
8326303206,4/12/2021 12:52:23 PM,Yes,04/13/2021 06:36:32 PM,2021-04-12
5669216509,4/12/2021 12:52:21 PM,Yes,04/13/2021 06:38:13 PM,2021-04-12
5869865222,4/12/2021 12:52:20 PM,Yes,04/13/2021 06:39:42 PM,2021-04-12
9669865402,4/12/2021 12:52:19 PM,Yes,04/13/2021 06:40:41 PM,2021-04-12
9824944558




PONumber,Date Submitted,ASN Done,ASN Date Submitted,Order Date

Date Submitted,ASN Done?,ASN Date Submitted,Order Date
4/12/2021 12:52:18 PM,Yes,04/13/2021 06:41:51 PM,2021-04-12
7971632928,4/12/2021 12:52:16 PM,Yes,04/13/2021 06:43:29 PM,2021-04-12
9824565667,4/12/2021 12:52:15 PM,Yes,04/13/2021 06:45:09 PM,2021-04-12
6168958432,4/12/2021 12:52:14 PM,Yes,04/13/2021 06:46:22 PM,2021-04-12
4223847663,4/12/2021 12:52:13 PM,Yes,04/13/2021 06:53:47 PM,2021-04-12
8925374243,4/12/2021 12:52:12 PM,Yes,04/13/2021 06:55:03 PM,2021-04-12
3919655518,4/12/2021 12:52:11 PM,Yes,04/13/2021 07:01:13 PM,2021-04-12
8570154371,4/12/2021 12:52:10 PM,Yes,04/13/2021 07:03:20 PM,2021-04-12
8268937712,4/12/2021 12:52:09 PM,Yes,04/13/2021 07:04:24 PM,2021-04-12
6723818123,4/12/2021 12:52:07 PM,Yes,04/13/2021 07:05:53 PM,2021-04-12
5924205908,4/12/2021 12:52:06 PM,Yes,04/13/2021 07:07:28 PM,2021-04-12
7418888529,4/12/2021 12:52:05 PM,Yes,04/13/2021 07:08:38 PM,2021-04-12
2769605690,4/12/2021 12:52:03 PM,Yes,04/13/2021 07:09:43 PM,2021-04-12
3770075196,4/12/2021 12:52:02 PM,Yes,04/13/2021 07:11:26 PM,2021-04-12
7870154166,4/12/2021 12:52:00 PM,Yes,04/14/2021 04:16:12 PM,2021-04-12
7369056473,4/12/2021 12:51:59 PM,Yes,04/14/2021 04:17:22 PM,2021-04-12
6970474513,4/12/2021 12:51:58 PM,Yes,04/14/2021 04:18:17 PM,2021-04-12
6270094817,4/12/2021 12:51:57 PM,Yes,04/14/2021 04:19:23 PM,2021-04-12
6820664284,4/12/2021 12:51:56 PM,Yes,04/14/2021 04:20:26 PM,2021-04-12
6470903967,4/12/2021 12:51:55 PM,Yes,04/14/2021 04:21:28 PM,2021-04-12
6970094296,4/12/2021 12:51:53 PM,Yes,04/14/2021 04:23:00 PM,2021-04-12
6319226180,4/12/2021 12:51:52 PM,Yes,04/14/2021 04:24:10 PM,2021-04-12
4870055153,4/12/2021 12:51:51 PM,Yes,04/14/2021 04:27:12 PM,2021-04-12
5871432980,4/12/2021 12:51:50 PM,Yes,04/14/2021 04:28:59 PM,2021-04-12
6469225911,4/12/2021 12:51:49 PM,Yes,04/14/2021 06:00:19 PM,2021-04-12
4669595606,4/12/2021 12:51:48 PM,Yes,04/14/2021 06:01:17 PM,2021-04-12
3769625622,4/12/2021 12:51:47 PM,Yes,04/14/2021 06:02:13 PM,2021-04-12
2421543366,4/12/2021 12:51:46 PM,Yes,04/14/2021 06:03:09 PM,2021-04-12
6122402069,4/12/2021 12:51:44 PM,Yes,04/14/2021 06:04:20 PM,2021-04-12
8271632958,4/12/2021 12:51:43 PM,Yes,04/14/2021 06:11:09 PM,2021-04-12
4269625534,4/12/2021 12:51:42 PM,Yes,04/14/2021 06:12:06 PM,2021-04-12
9868848823,4/12/2021 12:45:16 PM,Yes,04/14/2021 06:13:23 PM,2021-04-12
1420774098,4/12/2021 12:45:12 PM,Yes,04/14/2021 06:14:43 PM,2021-04-12
2369236330,4/12/2021 12:45:06 PM,Yes,04/14/2021 06:15:55 PM,2021-04-12
2169167028,4/5/2021 12:42:05 PM,Yes,04/06/2021 07:14:39 PM,2021-04-05
9823638514,4/5/2021 12:42:02 PM,Yes,04/06/2021 07:19:09 PM,2021-04-05
7719196555,4/5/2021 12:42:00 PM,Yes,04/06/2021 07:20:27 PM,2021-04-05
8326303011,4/5/2021 12:41:58 PM,Yes,04/06/2021 07:21:51 PM,2021-04-05
7971632761,4/5/2021 12:41:57 PM,Yes,04/06/2021 07:23:09 PM,2021-04-05
9824944371,4/5/2021 12:41:56 PM,Yes,04/06/2021 07:25:45 PM,2021-04-05
9669865202,4/5/2021 12:41:55 PM,Yes,04/06/2021 07:29:52 PM,2021-04-05
7870153984,4/5/2021 12:41:54 PM,Yes,04/06/2021 07:32:27 PM,2021-04-05
7418888313,4/5/2021 12:41:53 PM,Yes,04/06/2021 07:33:52 PM,2021-04-05
8268937498,4/5/2021 12:41:52 PM,Yes,04/06/2021 07:35:06 PM,2021-04-05
8570154184,4/5/2021 12:41:50 PM,Yes,04/06/2021 07:40:34 PM,2021-04-05
9824565463,4/5/2021 12:41:49 PM,Yes,04/06/2021 07:41:35 PM,2021-04-05
8925374066,4/5/2021 12:41:46 PM,Yes,04/06/2021 07:43:07 PM,2021-04-05
8271632776,4/5/2021 12:41:45 PM,Yes,04/06/2021 07:45:00 PM,2021-04-05
9868848605,4/5/2021 12:37:58 PM,Yes,04/06/2021 07:46:23 PM,2021-04-05
