country,Cases,Case_Per100K,Death,Death_Per100K
Burundi,3	985,35,6,< 1
Barbados,3	838,1	337,44,15
Comoros,3	834,451,146,17
Guinea-Bissau,3	733,194,67,3
Eritrea,3	671,105,10,< 1
Liechtenstein,2	921,7	683,57,150
Vietnam,2	910,3,35,< 1
New Zealand,2	613,53,26,1
Monaco,2	452,6	293,32,82
Turks and Caicos Islands,2	386,6	248,17,45
Bermuda,2	382,3	727,27,42
Sao Tome and Principe,2	301,1	070,35,16
Sint Maarten,2	226,5	465,27,66
East Timor,2	190,169,3,< 1
Liberia,2	099,43,85,2
Saint Vincent and the Grenadines,1	855,1	677,11,10
Saint Martin,1	745,4	592,12,32
Isle of Man,1	587,1	876,29,34
Bonaire	 Sint Eustatius and Saba,1	556,5	934,15,57
Antigua and Barbuda,1	232,1	269,32,33
Mauritius,1	208,95,17,1
Taiwan,1	121,5,12,< 1
Bhutan,1	066,140,1,< 1
Saint Barthélemy,974,9	853,1,10
Other,721,,15,
Laos,672,9,,
Faroe Islands,663,1	362,1,2
Cayman Islands,542,835,2,3
Tanzania,509,1,21,< 1
Wallis and Futuna,444,3	948,7,62
Brunei,224,52,3,1
British Virgin Islands,194,646,1,3
Dominica,174,242,,
Grenada,160,143,1,1
New Caledonia,124,43,,
Fiji,116,13,2,< 1
Anguilla,91,607,,
Falkland Islands,63,1	809,,
Macao,49,8,,
Saint Kitts and Nevis,44,83,,
Greenland,31,55,,
Vatican City,27,3	337,,
Saint Pierre and Miquelon,25,431,,
Solomon Islands,20,3,,
Montserrat,20,400,1,20
Vanuatu,4,1,1,< 1
Marshall Islands,4,7,,
Samoa,3,2,,
Micronesia,1,1,,


